Chr	Start	End	SNP Density
chr1A	385806915	391742406	0.0
chr1A	391742406	397677897	1.6847805851276667e-07
chr1A	397677897	403613388	0.0
chr1A	403613388	409548879	0.0
chr1A	409548879	415484370	0.0
chr1A	415484370	421419861	0.0
chr1A	421419861	427355352	0.0
chr1A	427355352	433290843	0.0
chr1A	433290843	439226334	0.0
chr1A	439226334	445161825	0.0
chr1A	445161825	451097316	0.0
chr1A	451097316	457032807	0.0
chr1A	457032807	462968298	0.0
chr1A	462968298	468903789	6.739122340510667e-07
chr1A	468903789	474839280	1.1793464095893668e-06
chr1A	474839280	480774771	1.5163025266149e-06
chr1A	480774771	486710262	3.3695611702553337e-06
chr1A	486710262	492645753	1.5163025266149e-06
chr1A	492645753	498581244	1.6847805851276669e-06
chr1A	498581244	504516735	3.0326050532298e-06
chr1A	504516735	510452226	2.3586928191787335e-06
chr1A	510452226	516387717	2.695648936204267e-06
chr1A	516387717	522323208	1.0108683510766002e-06
chr1A	522323208	528258699	1.0108683510766002e-06
chr1A	528258699	534194190	2.3586928191787335e-06
chr1A	534194190	540129681	2.695648936204267e-06
chr1A	540129681	546065172	4.380429521331934e-06
chr1A	546065172	552000663	6.739122340510667e-07
chr1A	552000663	557936154	1.0108683510766002e-06
chr1A	557936154	563871645	1.3478244681021334e-06
chr1A	563871645	569807136	5.054341755383001e-07
chr1A	569807136	575742627	1.8532586436404335e-06
chr1A	575742627	581678118	1.6847805851276669e-06
chr1A	581678118	587613609	4.5489075798447005e-06
chr1A	587613609	593549100	4.211951462819167e-06
chr1B	0	6887693	2.322983907674166e-06
chr1B	6887693	13775386	2.322983907674166e-06
chr1B	13775386	20663079	2.758543390363072e-06
chr1B	20663079	27550772	7.259324711481769e-07
chr1B	27550772	34438465	1.88742442498526e-06
chr1B	34438465	41326158	1.7422379307556245e-06
chr1B	41326158	48213851	1.5970514365259892e-06
chr1B	48213851	55101544	2.177797413444531e-06
chr1B	55101544	61989237	1.5970514365259892e-06
chr1B	61989237	68876930	7.259324711481769e-07
chr1B	68876930	75764623	1.161491953837083e-06
chr1B	75764623	82652316	0.0
chr1B	82652316	89540009	1.0163054596074477e-06
chr1B	89540009	96427702	2.0326109192148954e-06
chr1B	96427702	103315395	1.161491953837083e-06
chr1B	103315395	110203088	2.6133568961334367e-06
chr1B	110203088	117090781	1.161491953837083e-06
chr1B	117090781	123978474	2.6133568961334367e-06
chr1B	123978474	130866167	4.3555948268890613e-07
chr1B	130866167	137753860	7.259324711481769e-07
chr1B	137753860	144641553	1.0163054596074477e-06
chr1B	144641553	151529246	1.5970514365259892e-06
chr1B	151529246	158416939	1.161491953837083e-06
chr1B	158416939	165304632	1.3066784480667183e-06
chr1B	165304632	172192325	1.5970514365259892e-06
chr1B	172192325	179080018	1.4518649422963538e-07
chr1B	179080018	185967711	0.0
chr1B	185967711	192855404	1.4518649422963539e-06
chr1B	192855404	199743097	1.3066784480667183e-06
chr1B	199743097	206630790	2.9037298845927075e-07
chr1B	206630790	213518483	2.9037298845927075e-07
chr1B	213518483	220406176	1.4518649422963538e-07
chr1B	220406176	227293869	0.0
chr1B	227293869	234181562	0.0
chr1B	234181562	241069255	2.9037298845927075e-07
chr1B	241069255	247956948	0.0
chr1B	247956948	254844641	0.0
chr1B	254844641	261732334	1.4518649422963538e-07
chr1B	261732334	268620027	0.0
chr1B	268620027	275507720	0.0
chr1B	275507720	282395413	0.0
chr1B	282395413	289283106	0.0
chr1B	289283106	296170799	0.0
chr1B	296170799	303058492	1.4518649422963538e-07
chr1B	303058492	309946185	0.0
chr1B	309946185	316833878	0.0
chr1B	316833878	323721571	0.0
chr1B	323721571	330609264	2.0326109192148954e-06
chr1B	330609264	337496957	1.161491953837083e-06
chr1B	337496957	344384650	2.9037298845927075e-07
chr1B	344384650	351272343	0.0
chr1B	351272343	358160036	0.0
chr1B	358160036	365047729	0.0
chr1B	365047729	371935422	0.0
chr1B	371935422	378823115	0.0
chr1B	378823115	385710808	0.0
chr1B	385710808	392598501	0.0
chr1B	392598501	399486194	0.0
chr1B	399486194	406373887	0.0
chr1B	406373887	413261580	0.0
chr1B	413261580	420149273	0.0
chr1B	420149273	427036966	0.0
chr1B	427036966	433924659	0.0
chr1B	433924659	440812352	0.0
chr1B	440812352	447700045	0.0
chr1B	447700045	454587738	0.0
chr1B	454587738	461475431	7.259324711481769e-07
chr1B	461475431	468363124	1.4518649422963538e-07
chr1B	468363124	475250817	1.5970514365259892e-06
chr1B	475250817	482138510	1.88742442498526e-06
chr1B	482138510	489026203	1.4518649422963539e-06
chr1B	489026203	495913896	1.0163054596074477e-06
chr1B	495913896	502801589	7.259324711481769e-07
chr1B	502801589	509689282	2.9037298845927075e-07
chr1B	509689282	516576975	7.259324711481769e-07
chr1B	516576975	523464668	8.711189653778123e-07
chr1B	523464668	530352361	5.807459769185415e-07
chr1B	530352361	537240054	2.322983907674166e-06
chr1B	537240054	544127747	8.711189653778123e-07
chr1B	544127747	551015440	1.5970514365259892e-06
chr1B	551015440	557903133	1.161491953837083e-06
chr1B	557903133	564790826	2.9037298845927077e-06
chr1B	564790826	571678519	3.339289367281614e-06
chr1B	571678519	578566212	1.3066784480667183e-06
chr1B	578566212	585453905	1.3066784480667183e-06
chr1B	585453905	592341598	2.4681704019038015e-06
chr1B	592341598	599229291	2.9037298845927075e-07
chr1B	599229291	606116984	2.0326109192148954e-06
chr1B	606116984	613004677	2.9037298845927075e-07
chr1B	613004677	619892370	2.758543390363072e-06
chr1B	619892370	626780063	2.6133568961334367e-06
chr1B	626780063	633667756	2.322983907674166e-06
chr1B	633667756	640555449	2.9037298845927077e-06
chr1B	640555449	647443142	4.791154309577967e-06
chr1B	647443142	654330835	1.3066784480667183e-06
chr1B	654330835	661218528	3.1941028730519784e-06
chr1B	661218528	668106221	3.1941028730519784e-06
chr1B	668106221	674993914	2.758543390363072e-06
chr1B	674993914	681881607	3.920035344200156e-06
chr1D	0	4951266	8.07874188136933e-07
chr1D	4951266	9902532	3.4334652995819657e-06
chr1D	9902532	14853798	3.837402393650432e-06
chr1D	14853798	19805064	1.8177169233080994e-06
chr1D	19805064	24756330	1.0098427351711663e-06
chr1D	24756330	29707596	6.059056411026998e-07
chr1D	29707596	34658862	2.423622564410799e-06
chr1D	34658862	39610128	2.423622564410799e-06
chr1D	39610128	44561394	2.6255911114450323e-06
chr1D	44561394	49512660	2.6255911114450323e-06
chr1D	49512660	54463926	3.635433846616199e-06
chr1D	54463926	59415192	8.07874188136933e-07
chr1D	59415192	64366458	1.0098427351711663e-06
chr1D	64366458	69317724	1.615748376273866e-06
chr1D	69317724	74268990	8.07874188136933e-07
chr1D	74268990	79220256	4.039370940684665e-07
chr1D	79220256	84171522	8.07874188136933e-07
chr1D	84171522	89122788	2.827559658479266e-06
chr1D	89122788	94074054	8.07874188136933e-07
chr1D	94074054	99025320	2.0196854703423326e-07
chr1D	99025320	103976586	1.0098427351711663e-06
chr1D	103976586	108927852	6.059056411026998e-07
chr1D	108927852	113879118	1.413779829239633e-06
chr1D	113879118	118830384	2.0196854703423326e-07
chr1D	118830384	123781650	1.413779829239633e-06
chr1D	123781650	128732916	0.0
chr1D	128732916	133684182	1.0098427351711663e-06
chr1D	133684182	138635448	6.059056411026998e-07
chr1D	138635448	143586714	8.07874188136933e-07
chr1D	143586714	148537980	2.0196854703423326e-07
chr1D	148537980	153489246	0.0
chr1D	153489246	158440512	4.039370940684665e-07
chr1D	158440512	163391778	0.0
chr1D	163391778	168343044	0.0
chr1D	168343044	173294310	0.0
chr1D	173294310	178245576	0.0
chr1D	178245576	183196842	0.0
chr1D	183196842	188148108	0.0
chr1D	188148108	193099374	0.0
chr1D	193099374	198050640	0.0
chr1D	198050640	203001906	4.039370940684665e-07
chr1D	203001906	207953172	0.0
chr1D	207953172	212904438	2.0196854703423326e-07
chr1D	212904438	217855704	0.0
chr1D	217855704	222806970	0.0
chr1D	222806970	227758236	0.0
chr1D	227758236	232709502	0.0
chr1D	232709502	237660768	0.0
chr1D	237660768	242612034	0.0
chr1D	242612034	247563300	4.039370940684665e-07
chr1D	247563300	252514566	0.0
chr1D	252514566	257465832	2.0196854703423326e-07
chr1D	257465832	262417098	8.07874188136933e-07
chr1D	262417098	267368364	0.0
chr1D	267368364	272319630	0.0
chr1D	272319630	277270896	0.0
chr1D	277270896	282222162	0.0
chr1D	282222162	287173428	0.0
chr1D	287173428	292124694	0.0
chr1D	292124694	297075960	0.0
chr1D	297075960	302027226	0.0
chr1D	302027226	306978492	0.0
chr1D	306978492	311929758	4.039370940684665e-07
chr1D	311929758	316881024	0.0
chr1D	316881024	321832290	0.0
chr1D	321832290	326783556	0.0
chr1D	326783556	331734822	0.0
chr1D	331734822	336686088	0.0
chr1D	336686088	341637354	0.0
chr1D	341637354	346588620	0.0
chr1D	346588620	351539886	0.0
chr1D	351539886	356491152	0.0
chr1D	356491152	361442418	0.0
chr1D	361442418	366393684	0.0
chr1D	366393684	371344950	0.0
chr1D	371344950	376296216	0.0
chr1D	376296216	381247482	0.0
chr1D	381247482	386198748	0.0
chr1D	386198748	391150014	0.0
chr1D	391150014	396101280	4.039370940684665e-07
chr1D	396101280	401052546	4.039370940684665e-07
chr1D	401052546	406003812	4.039370940684665e-07
chr1D	406003812	410955078	3.029528205513499e-06
chr1D	410955078	415906344	1.413779829239633e-06
chr1D	415906344	420857610	2.423622564410799e-06
chr1D	420857610	425808876	2.0196854703423326e-07
chr1D	425808876	430760142	2.0196854703423326e-07
chr1D	430760142	435711408	1.413779829239633e-06
chr1D	435711408	440662674	4.039370940684665e-07
chr1D	440662674	445613940	4.039370940684665e-07
chr1D	445613940	450565206	0.0
chr1D	450565206	455516472	0.0
chr1D	455516472	460467738	6.059056411026998e-07
chr1D	460467738	465419004	8.07874188136933e-07
chr1D	465419004	470370270	4.039370940684665e-07
chr1D	470370270	475321536	6.059056411026998e-07
chr1D	475321536	480272802	2.0196854703423326e-07
chr1D	480272802	485224068	1.0098427351711663e-06
chr1D	485224068	490175334	4.039370940684665e-06
chr2A	0	7807147	5.251598311137219e-06
chr2A	7807147	15614294	2.8179308010980195e-06
chr2A	15614294	23421441	4.098808437960756e-06
chr2A	23421441	31228588	2.4336675100391988e-06
chr2A	31228588	39035735	2.4336675100391988e-06
chr2A	39035735	46842882	1.4089654005490097e-06
chr2A	46842882	54650029	1.2808776368627362e-06
chr2A	54650029	62457176	1.024702109490189e-06
chr2A	62457176	70264323	1.4089654005490097e-06
chr2A	70264323	78071470	2.946018564784293e-06
chr2A	78071470	85878617	3.0741063284705666e-06
chr2A	85878617	93685764	2.5617552737254723e-06
chr2A	93685764	101492911	1.2808776368627362e-06
chr2A	101492911	109300058	2.5617552737254725e-07
chr2A	109300058	117107205	3.8426329105882083e-07
chr2A	117107205	124914352	5.123510547450945e-07
chr2A	124914352	132721499	3.8426329105882083e-07
chr2A	132721499	140528646	3.8426329105882083e-07
chr2A	140528646	148335793	7.685265821176417e-07
chr2A	148335793	156142940	1.2808776368627363e-07
chr2A	156142940	163950087	1.2808776368627363e-07
chr2A	163950087	171757234	5.123510547450945e-07
chr2A	171757234	179564381	2.5617552737254725e-07
chr2A	179564381	187371528	0.0
chr2A	187371528	195178675	2.5617552737254725e-07
chr2A	195178675	202985822	3.8426329105882083e-07
chr2A	202985822	210792969	7.685265821176417e-07
chr2A	210792969	218600116	5.123510547450945e-07
chr2A	218600116	226407263	0.0
chr2A	226407263	234214410	2.5617552737254725e-07
chr2A	234214410	242021557	3.8426329105882083e-07
chr2A	242021557	249828704	0.0
chr2A	249828704	257635851	1.2808776368627363e-07
chr2A	257635851	265442998	1.2808776368627363e-07
chr2A	265442998	273250145	0.0
chr2A	273250145	281057292	5.123510547450945e-07
chr2A	281057292	288864439	2.5617552737254725e-07
chr2A	288864439	296671586	1.2808776368627363e-07
chr2A	296671586	304478733	1.2808776368627363e-07
chr2A	304478733	312285880	0.0
chr2A	312285880	320093027	2.5617552737254725e-07
chr2A	320093027	327900174	2.5617552737254725e-07
chr2A	327900174	335707321	2.5617552737254725e-07
chr2A	335707321	343514468	1.2808776368627363e-07
chr2A	343514468	351321615	2.5617552737254725e-07
chr2A	351321615	359128762	3.8426329105882083e-07
chr2A	359128762	366935909	3.8426329105882083e-07
chr2A	366935909	374743056	8.966143458039153e-07
chr2A	374743056	382550203	6.404388184313681e-07
chr2A	382550203	390357350	1.024702109490189e-06
chr2A	390357350	398164497	3.8426329105882083e-07
chr2A	398164497	405971644	0.0
chr2A	405971644	413778791	7.685265821176417e-07
chr2A	413778791	421585938	5.123510547450945e-07
chr2A	421585938	429393085	5.123510547450945e-07
chr2A	429393085	437200232	8.966143458039153e-07
chr2A	437200232	445007379	0.0
chr2A	445007379	452814526	2.5617552737254725e-07
chr2A	452814526	460621673	5.123510547450945e-07
chr2A	460621673	468428820	8.966143458039153e-07
chr2A	468428820	476235967	3.8426329105882083e-07
chr2A	476235967	484043114	0.0
chr2A	484043114	491850261	5.123510547450945e-07
chr2A	491850261	499657408	8.966143458039153e-07
chr2A	499657408	507464555	1.665140927921557e-06
chr2A	507464555	515271702	3.8426329105882083e-07
chr2A	515271702	523078849	3.8426329105882083e-07
chr2A	523078849	530885996	2.5617552737254725e-07
chr2A	530885996	538693143	3.8426329105882083e-07
chr2A	538693143	546500290	8.966143458039153e-07
chr2A	546500290	554307437	8.966143458039153e-07
chr2A	554307437	562114584	1.5370531642352833e-06
chr2A	562114584	569921731	1.1527898731764626e-06
chr2A	569921731	577728878	5.123510547450945e-07
chr2A	577728878	585536025	1.024702109490189e-06
chr2A	585536025	593343172	3.8426329105882083e-07
chr2A	593343172	601150319	2.5617552737254725e-07
chr2A	601150319	608957466	2.305579746352925e-06
chr2A	608957466	616764613	2.5617552737254725e-07
chr2A	616764613	624571760	6.404388184313681e-07
chr2A	624571760	632378907	3.8426329105882083e-07
chr2A	632378907	640186054	5.123510547450945e-07
chr2A	640186054	647993201	6.404388184313681e-07
chr2A	647993201	655800348	1.2808776368627363e-07
chr2A	655800348	663607495	3.8426329105882083e-07
chr2A	663607495	671414642	2.5617552737254725e-07
chr2A	671414642	679221789	3.330281855843114e-06
chr2A	679221789	687028936	1.1527898731764626e-06
chr2A	687028936	694836083	3.330281855843114e-06
chr2A	694836083	702643230	1.2808776368627362e-06
chr2A	702643230	710450377	2.8179308010980195e-06
chr2A	710450377	718257524	3.842632910588208e-06
chr2A	718257524	726064671	2.4336675100391988e-06
chr2A	726064671	733871818	1.2808776368627362e-06
chr2A	733871818	741678965	3.330281855843114e-06
chr2A	741678965	749486112	2.946018564784293e-06
chr2A	749486112	757293259	3.5864573832156613e-06
chr2A	757293259	765100406	4.098808437960756e-06
chr2A	765100406	772907553	1.2808776368627362e-06
chr2A	772907553	780714700	2.8179308010980195e-06
chr2B	0	8012536	3.744132943677258e-06
chr2B	8012536	16025072	1.872066471838629e-06
chr2B	16025072	24037608	2.371284197662263e-06
chr2B	24037608	32050144	2.2464797662063547e-06
chr2B	32050144	40062680	8.736310201913602e-07
chr2B	40062680	48075216	4.617763963868618e-06
chr2B	48075216	56087752	1.1232398831031773e-06
chr2B	56087752	64100288	4.992177258236343e-07
chr2B	64100288	72112824	2.496088629118172e-06
chr2B	72112824	80125360	1.6224576089268117e-06
chr2B	80125360	88137896	0.0
chr2B	88137896	96150432	1.9968709032945374e-06
chr2B	96150432	104162968	2.6208930605740804e-06
chr2B	104162968	112175504	3.369719649309532e-06
chr2B	112175504	120188040	2.745697492029989e-06
chr2B	120188040	128200576	2.1216753347504462e-06
chr2B	128200576	136213112	3.4945240807654407e-06
chr2B	136213112	144225648	3.2449152178536234e-06
chr2B	144225648	152238184	3.369719649309532e-06
chr2B	152238184	160250720	5.241786121148161e-06
chr2B	160250720	168263256	1.872066471838629e-06
chr2B	168263256	176275792	1.248044314559086e-06
chr2B	176275792	184288328	2.496088629118172e-06
chr2B	184288328	192300864	3.619328512221349e-06
chr2B	192300864	200313400	1.1232398831031773e-06
chr2B	200313400	208325936	1.248044314559086e-06
chr2B	208325936	216338472	3.868937375133166e-06
chr2B	216338472	224351008	1.6224576089268117e-06
chr2B	224351008	232363544	9.984354516472687e-07
chr2B	232363544	240376080	3.120110786397715e-06
chr2B	240376080	248388616	2.371284197662263e-06
chr2B	248388616	256401152	2.995306354941806e-06
chr2B	256401152	264413688	7.488265887354515e-07
chr2B	264413688	272426224	2.496088629118172e-07
chr2B	272426224	280438760	7.488265887354515e-07
chr2B	280438760	288451296	6.24022157279543e-07
chr2B	288451296	296463832	3.7441329436772576e-07
chr2B	296463832	304476368	4.992177258236343e-07
chr2B	304476368	312488904	6.24022157279543e-07
chr2B	312488904	320501440	7.488265887354515e-07
chr2B	320501440	328513976	7.488265887354515e-07
chr2B	328513976	336526512	8.736310201913602e-07
chr2B	336526512	344539048	2.496088629118172e-07
chr2B	344539048	352551584	0.0
chr2B	352551584	360564120	2.1216753347504462e-06
chr2B	360564120	368576656	1.248044314559086e-06
chr2B	368576656	376589192	3.369719649309532e-06
chr2B	376589192	384601728	2.371284197662263e-06
chr2B	384601728	392614264	4.617763963868618e-06
chr2B	392614264	400626800	2.1216753347504462e-06
chr2B	400626800	408639336	2.496088629118172e-06
chr2B	408639336	416651872	3.619328512221349e-06
chr2B	416651872	424664408	2.371284197662263e-06
chr2B	424664408	432676944	1.872066471838629e-06
chr2B	432676944	440689480	1.1232398831031773e-06
chr2B	440689480	448702016	1.872066471838629e-06
chr2B	448702016	456714552	2.745697492029989e-06
chr2B	456714552	464727088	3.369719649309532e-06
chr2B	464727088	472739624	1.3728487460149944e-06
chr2B	472739624	480752160	1.9968709032945374e-06
chr2B	480752160	488764696	2.6208930605740804e-06
chr2B	488764696	496777232	1.9968709032945374e-06
chr2B	496777232	504789768	1.248044314559086e-06
chr2B	504789768	512802304	1.248044314559086e-06
chr2B	512802304	520814840	2.6208930605740804e-06
chr2B	520814840	528827376	1.6224576089268117e-06
chr2B	528827376	536839912	2.6208930605740804e-06
chr2B	536839912	544852448	2.6208930605740804e-06
chr2B	544852448	552864984	1.3728487460149944e-06
chr2B	552864984	560877520	1.872066471838629e-06
chr2B	560877520	568890056	1.872066471838629e-06
chr2B	568890056	576902592	9.984354516472687e-07
chr2B	576902592	584915128	1.7472620403827203e-06
chr2B	584915128	592927664	8.736310201913602e-07
chr2B	592927664	600940200	1.872066471838629e-06
chr2B	600940200	608952736	1.3728487460149944e-06
chr2B	608952736	616965272	1.9968709032945374e-06
chr2B	616965272	624977808	2.2464797662063547e-06
chr2B	624977808	632990344	1.3728487460149944e-06
chr2B	632990344	641002880	2.6208930605740804e-06
chr2B	641002880	649015416	3.744132943677258e-06
chr2B	649015416	657027952	2.995306354941806e-06
chr2B	657027952	665040488	2.8705019234858977e-06
chr2B	665040488	673053024	2.2464797662063547e-06
chr2B	673053024	681065560	3.2449152178536234e-06
chr2B	681065560	689078096	3.4945240807654407e-06
chr2B	689078096	697090632	4.118546238044983e-06
chr2B	697090632	705103168	2.745697492029989e-06
chr2B	705103168	713115704	1.3728487460149944e-06
chr2B	713115704	721128240	4.492959532412709e-06
chr2B	721128240	729140776	2.745697492029989e-06
chr2B	729140776	737153312	4.992177258236344e-06
chr2B	737153312	745165848	4.992177258236344e-06
chr2B	745165848	753178384	5.241786121148161e-06
chr2B	753178384	761190920	1.6224576089268117e-06
chr2B	761190920	769203456	4.492959532412709e-06
chr2B	769203456	777215992	3.744132943677258e-06
chr2B	777215992	785228528	2.6208930605740804e-06
chr2B	785228528	793241064	4.118546238044983e-06
chr2D	0	6516113	1.534657241211133e-06
chr2D	6516113	13032226	2.7623830341800395e-06
chr2D	13032226	19548339	3.836643103027833e-06
chr2D	19548339	26064452	1.0742600688477932e-06
chr2D	26064452	32580565	2.3019858618166994e-06
chr2D	32580565	39096678	1.534657241211133e-07
chr2D	39096678	45612791	0.0
chr2D	45612791	52128904	0.0
chr2D	52128904	58645017	0.0
chr2D	58645017	65161130	1.534657241211133e-06
chr2D	65161130	71677243	2.915848758301153e-06
chr2D	71677243	78193356	4.297040275391173e-06
chr2D	78193356	84709469	5.524766068360079e-06
chr2D	84709469	91225582	0.0
chr2D	91225582	97741695	3.069314482422266e-07
chr2D	97741695	104257808	6.138628964844532e-07
chr2D	104257808	110773921	4.6039717236333995e-07
chr2D	110773921	117290034	0.0
chr2D	117290034	123806147	4.6039717236333995e-07
chr2D	123806147	130322260	1.0742600688477932e-06
chr2D	130322260	136838373	4.6039717236333995e-07
chr2D	136838373	143354486	0.0
chr2D	143354486	149870599	1.534657241211133e-07
chr2D	149870599	156386712	4.6039717236333995e-07
chr2D	156386712	162902825	7.673286206055665e-07
chr2D	162902825	169418938	0.0
chr2D	169418938	175935051	1.534657241211133e-07
chr2D	175935051	182451164	0.0
chr2D	182451164	188967277	1.534657241211133e-07
chr2D	188967277	195483390	6.138628964844532e-07
chr2D	195483390	201999503	0.0
chr2D	201999503	208515616	0.0
chr2D	208515616	215031729	0.0
chr2D	215031729	221547842	0.0
chr2D	221547842	228063955	0.0
chr2D	228063955	234580068	0.0
chr2D	234580068	241096181	0.0
chr2D	241096181	247612294	0.0
chr2D	247612294	254128407	0.0
chr2D	254128407	260644520	0.0
chr2D	260644520	267160633	0.0
chr2D	267160633	273676746	0.0
chr2D	273676746	280192859	0.0
chr2D	280192859	286708972	0.0
chr2D	286708972	293225085	0.0
chr2D	293225085	299741198	0.0
chr2D	299741198	306257311	1.534657241211133e-07
chr2D	306257311	312773424	1.534657241211133e-07
chr2D	312773424	319289537	6.138628964844532e-07
chr2D	319289537	325805650	0.0
chr2D	325805650	332321763	0.0
chr2D	332321763	338837876	0.0
chr2D	338837876	345353989	0.0
chr2D	345353989	351870102	0.0
chr2D	351870102	358386215	0.0
chr2D	358386215	364902328	1.534657241211133e-07
chr2D	364902328	371418441	0.0
chr2D	371418441	377934554	6.138628964844532e-07
chr2D	377934554	384450667	0.0
chr2D	384450667	390966780	1.534657241211133e-07
chr2D	390966780	397482893	1.534657241211133e-07
chr2D	397482893	403999006	3.069314482422266e-07
chr2D	403999006	410515119	1.534657241211133e-07
chr2D	410515119	417031232	3.069314482422266e-07
chr2D	417031232	423547345	3.069314482422266e-07
chr2D	423547345	430063458	9.207943447266799e-07
chr2D	430063458	436579571	0.0
chr2D	436579571	443095684	0.0
chr2D	443095684	449611797	3.069314482422266e-07
chr2D	449611797	456127910	6.138628964844532e-07
chr2D	456127910	462644023	4.6039717236333995e-07
chr2D	462644023	469160136	0.0
chr2D	469160136	475676249	6.138628964844532e-07
chr2D	475676249	482192362	3.069314482422266e-07
chr2D	482192362	488708475	3.069314482422266e-07
chr2D	488708475	495224588	3.069314482422266e-07
chr2D	495224588	501740701	1.534657241211133e-07
chr2D	501740701	508256814	3.069314482422266e-07
chr2D	508256814	514772927	3.069314482422266e-07
chr2D	514772927	521289040	9.207943447266799e-07
chr2D	521289040	527805153	1.534657241211133e-07
chr2D	527805153	534321266	6.138628964844532e-07
chr2D	534321266	540837379	1.0742600688477932e-06
chr2D	540837379	547353492	7.673286206055665e-07
chr2D	547353492	553869605	4.6039717236333995e-07
chr2D	553869605	560385718	3.069314482422266e-07
chr2D	560385718	566901831	6.138628964844532e-07
chr2D	566901831	573417944	3.3762459306644926e-06
chr2D	573417944	579934057	4.297040275391173e-06
chr2D	579934057	586450170	1.995054413574473e-06
chr2D	586450170	592966283	2.1485201376955864e-06
chr2D	592966283	599482396	3.529711654785606e-06
chr2D	599482396	605998509	2.1485201376955864e-06
chr2D	605998509	612514622	3.2227802065433795e-06
chr2D	612514622	619030735	4.757437447754513e-06
chr2D	619030735	625546848	1.995054413574473e-06
chr2D	625546848	632062961	1.995054413574473e-06
chr2D	632062961	638579074	2.7623830341800395e-06
chr2D	638579074	645095187	2.455451585937813e-06
chr3A	0	7492057	8.008481515824026e-07
chr3A	7492057	14984114	3.0699179143992096e-06
chr3A	14984114	22476171	1.2012722273736038e-06
chr3A	22476171	29968228	1.7351709950952055e-06
chr3A	29968228	37460285	8.008481515824026e-07
chr3A	37460285	44952342	8.008481515824026e-07
chr3A	44952342	52444399	1.3347469193040043e-06
chr3A	52444399	59936456	3.6038166821208113e-06
chr3A	59936456	67428513	9.343228435128029e-07
chr3A	67428513	74920570	8.008481515824026e-07
chr3A	74920570	82412627	1.3347469193040043e-07
chr3A	82412627	89904684	0.0
chr3A	89904684	97396741	0.0
chr3A	97396741	104888798	0.0
chr3A	104888798	112380855	0.0
chr3A	112380855	119872912	0.0
chr3A	119872912	127364969	0.0
chr3A	127364969	134857026	0.0
chr3A	134857026	142349083	1.3347469193040043e-07
chr3A	142349083	149841140	0.0
chr3A	149841140	157333197	0.0
chr3A	157333197	164825254	0.0
chr3A	164825254	172317311	0.0
chr3A	172317311	179809368	0.0
chr3A	179809368	187301425	0.0
chr3A	187301425	194793482	0.0
chr3A	194793482	202285539	0.0
chr3A	202285539	209777596	0.0
chr3A	209777596	217269653	0.0
chr3A	217269653	224761710	0.0
